/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S11) Recalibrated depth and ages for previously published stable isotope data from DSDP Hole 86-577. doi:10.1594/PANGAEA.809200, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Related to:	Cramer, Benjamin S; Wright, James D; Kent, Dennis V; Aubry, Marie-Pierre (2003): Orbital climate forcing of d13C excursions in the late Paleocene-early Eocene (chrons C24n-C25n). Paleoceanography, 18(4), 1097, doi:10.1029/2003PA000909
	Westerhold, Thomas; Röhl, Ursula; Laskar, Jacques (2012): Time scale controversy: Accurate orbital calibration of early Paleogene. Geochemistry Geophysics Geosystems, 13, Q06015, doi:10.1029/2012GC004096
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, doi:10.1016/j.palaeo.2007.09.016
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.441800 * LONGITUDE: 157.723300
	MINIMUM DEPTH, sediment/rock: 74.6 m * MAXIMUM DEPTH, sediment/rock: 88.0 m
Event(s):	86-577 * LATITUDE: 32.441800 * LONGITUDE: 157.723300 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 111.10 m * PENETRATION: 118.80 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 118.8 m cored; 0 m drilled; 93.5 % recovery
Comment:	Placement of previously published bulk and benthic foraminifera stable carbon isotope data for Upper Cretaceous and Lower Paleogene sediment at DSDP Site 577 according to composite depth scale and an updated time scale (Westerhold et al., 2008, 2012). Isotope data were reported by Cramer et al. (2003), dataset doi:10.1594/PANGAEA.741861. DEPTH, sediment is the depth [mbsf] reported by Cramer et al. (2003). Note that depths for CC samples are not consistent with core logs.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: we have relabled core catcher (CC) samples as an additional section for purposes of math; given in brackets
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Depth, top/min [m] (Depth top) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: core top [mbsf], reported according to drillers table (Shipboard Scientific Party, 1985) and with positions of CC intervals from core logs
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected [mbsf], assuming average interval distance and the above
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: offset of cores from Table 2
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: adjusted, the depth of the sample in floating depth space [mcd] relative to m below seafloor
	delta 13C, carbonate [per mil PDB] (d13C carb) * PI: Cramer, Benjamin S
	delta 18O, carbonate [per mil PDB] (d18O carb) * PI: Cramer, Benjamin S
	Age, relative [ka] (Age rel) * PI: Cramer, Benjamin S * COMMENT: reported age relative to start of PETM reported by Cramer et al. (2003)
	Age model [ka] (Age model) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age on Option 1 time by Westerhold et al. (2008) as determined by linear sedimentaton between six polarity chron reversals and data on a mcd depth scale
	Age, relative [ka] (Age rel) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age relative to start of PETM using information in this paper
	Comment (Comment) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: Blue horizons are approximate positions of polarity chron reversals; green horizons are positions of known hyperthermal events. Note that ages given for hyperthermals differ from those estimated, which may reflect inaccurate ages for the hyperthermals or differential sedimentation between chosen polarity chrons.
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6140 data points
*/
Label	Depth [m]	Depth top [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	d13C carb [per mil PDB]	d18O carb [per mil PDB]	Age rel [ka] (reported age relative to star...)	Age model [ka]	Age rel [ka] (estimated age relative to sta...)	Comment
86-577-9-3,14-15	76.44	73.3	0.00	76.44	0.0	76.44	1.27	-0.27	2550	52640	3070	
86-577-9-3,15-16	76.45	73.3	0.00	76.45	0.0	76.45	1.21	-0.31	2550	52650	3060	
86-577-9-3,17-18	76.47	73.3	0.00	76.47	0.0	76.47	1.25	-0.54	2550	52650	3060	
86-577-9-3,18-19	76.48	73.3	0.00	76.48	0.0	76.48	1.27	-0.13	2540	52660	3050	
86-577-9-3,19-20	76.49	73.3	0.00	76.49	0.0	76.49	1.25	-0.32	2540	52660	3050	
86-577-9-3,21-22	76.51	73.3	0.00	76.51	0.0	76.51	1.20	-0.51	2530	52670	3040	
86-577-9-3,22-23	76.52	73.3	0.00	76.52	0.0	76.52	1.18	-0.29	2530	52670	3040	
86-577-9-3,23-24	76.53	73.3	0.00	76.53	0.0	76.53	1.21	-0.23	2530	52680	3030	
86-577-9-3,24-25	76.54	73.3	0.00	76.54	0.0	76.54	1.22	-0.38	2530	52680	3030	
86-577-9-3,26-27	76.56	73.3	0.00	76.56	0.0	76.56	1.02	-0.52	2520	52690	3020	
86-577-9-3,27-28	76.57	73.3	0.00	76.57	0.0	76.57	1.09	-0.35	2520	52690	3020	
86-577-9-3,28-29	76.58	73.3	0.00	76.58	0.0	76.58	1.09	-0.30	2510	52700	3010	
86-577-9-3,29-30	76.59	73.3	0.00	76.59	0.0	76.59	1.14	-0.50	2510	52700	3010	
86-577-9-3,30-31	76.60	73.3	0.00	76.60	0.0	76.60	1.08	-0.40	2510	52700	3010	
86-577-9-3,31-32	76.61	73.3	0.00	76.61	0.0	76.61	1.12	-0.42	2510	52710	3000	
86-577-9-3,32-33	76.62	73.3	0.00	76.62	0.0	76.62	1.08	-0.40	2500	52710	3000	
86-577-9-3,34-35	76.64	73.3	0.00	76.64	0.0	76.64	1.13	-0.40	2500	52720	2990	
86-577-9-3,35-36	76.65	73.3	0.00	76.65	0.0	76.65	1.08	-0.68	2490	52720	2990	
86-577-9-3,36-37	76.66	73.3	0.00	76.66	0.0	76.66	1.20	-0.32	2490	52730	2980	
86-577-9-3,37-38	76.67	73.3	0.00	76.67	0.0	76.67	1.11	-0.42	2490	52730	2980	
86-577-9-3,38-39	76.68	73.3	0.00	76.68	0.0	76.68	1.11	-0.48	2490	52730	2980	
86-577-9-3,39-40	76.69	73.3	0.00	76.69	0.0	76.69	1.12	-0.66	2480	52740	2970	
86-577-9-3,40-41	76.70	73.3	0.00	76.70	0.0	76.70	1.09	-0.58	2480	52740	2970	
86-577-9-3,41-42	76.71	73.3	0.00	76.71	0.0	76.71	1.07	-0.57	2480	52750	2960	
86-577-9-3,42-43	76.72	73.3	0.00	76.72	0.0	76.72	1.14	-0.55	2470	52750	2960	
86-577-9-3,43-44	76.73	73.3	0.00	76.73	0.0	76.73	1.07	-0.60	2470	52750	2960	
86-577-9-3,44-45	76.74	73.3	0.00	76.74	0.0	76.74	1.22	-0.44	2470	52760	2950	
86-577-9-3,45-46	76.75	73.3	0.00	76.75	0.0	76.75	1.20	-0.54	2470	52760	2950	
86-577-9-3,46-47	76.76	73.3	0.00	76.76	0.0	76.76	1.17	-0.60	2460	52770	2940	
86-577-9-3,48-49	76.78	73.3	0.00	76.78	0.0	76.78	1.44	-0.83	2460	52770	2940	
86-577-9-3,49-50	76.79	73.3	0.00	76.79	0.0	76.79	1.25	-0.70	2450	52780	2930	
86-577-9-3,50-51	76.80	73.3	0.00	76.80	0.0	76.80	1.34	-0.41	2450	52780	2930	
86-577-9-3,52-53	76.82	73.3	0.00	76.82	0.0	76.82	1.33	-0.48	2440	52790	2920	
86-577-9-3,53-54	76.83	73.3	0.00	76.83	0.0	76.83	1.30	-0.62	2440	52790	2920	
86-577-9-3,54-55	76.84	73.3	0.00	76.84	0.0	76.84	1.35	-0.57	2440	52800	2910	
86-577-9-3,55-56	76.85	73.3	0.00	76.85	0.0	76.85	1.34	-0.49	2440	52800	2910	
86-577-9-3,57-58	76.87	73.3	0.00	76.87	0.0	76.87	1.41	-0.56	2430	52810	2900	
86-577-9-3,58-59	76.88	73.3	0.00	76.88	0.0	76.88	1.27	-0.65	2430	52810	2900	
86-577-9-3,59-60	76.89	73.3	0.00	76.89	0.0	76.89	1.28	-0.49	2420	52810	2900	
86-577-9-3,61-62	76.91	73.3	0.00	76.91	0.0	76.91	1.33	-0.55	2420	52820	2890	
86-577-9-3,62-63	76.92	73.3	0.00	76.92	0.0	76.92	1.23	-0.44	2420	52830	2880	
86-577-9-3,63-64	76.93	73.3	0.00	76.93	0.0	76.93	1.20	-0.47	2410	52830	2880	
86-577-9-3,65-66	76.95	73.3	0.00	76.95	0.0	76.95	1.21	-0.50	2410	52840	2870	Base C24n.1n, 52.63 Ma
86-577-9-3,66-67	76.96	73.3	0.00	76.96	0.0	76.96	1.36	-0.84	2400	52840	2870	
86-577-9-3,67-68	76.97	73.3	0.00	76.97	0.0	76.97	1.33	-0.58	2400	52850	2860	
86-577-9-3,69-70	76.99	73.3	0.00	76.99	0.0	76.99	1.29	-0.34	2400	52850	2860	
86-577-9-3,70-71	77.00	73.3	0.00	77.00	0.0	77.00	1.30	-0.60	2390	52860	2850	
86-577-9-3,71-72	77.01	73.3	0.00	77.01	0.0	77.01	1.25	-0.60	2390	52860	2850	
86-577-9-3,73-74	77.03	73.3	0.00	77.03	0.0	77.03	1.31	-0.63	2380	52870	2840	
86-577-9-3,74-75	77.04	73.3	0.00	77.04	0.0	77.04	1.14	-0.56	2380	52870	2840	
86-577-9-3,76-77	77.06	73.3	0.00	77.06	0.0	77.06	1.26	-0.61	2380	52880	2830	
86-577-9-3,77-78	77.07	73.3	0.00	77.07	0.0	77.07	1.32	-0.51	2370	52880	2830	
86-577-9-3,78-79	77.08	73.3	0.00	77.08	0.0	77.08	1.29	-0.47	2370	52890	2820	
86-577-9-3,80-81	77.10	73.3	0.00	77.10	0.0	77.10	1.32	-0.47	2360	52900	2810	
86-577-9-3,81-82	77.11	73.3	0.00	77.11	0.0	77.11	1.38	-0.65	2360	52900	2810	
86-577-9-3,82-83	77.12	73.3	0.00	77.12	0.0	77.12	1.17	-0.58	2360	52900	2810	
86-577-9-3,84-85	77.14	73.3	0.00	77.14	0.0	77.14	1.27	-0.74	2350	52910	2800	
86-577-9-3,85-86	77.15	73.3	0.00	77.15	0.0	77.15	1.35	-0.39	2350	52910	2800	
86-577-9-3,87-88	77.17	73.3	0.00	77.17	0.0	77.17	1.30	-0.41	2340	52920	2790	
86-577-9-3,88-89	77.18	73.3	0.00	77.18	0.0	77.18	1.04	-0.47	2340	52930	2780	
86-577-9-3,89-90	77.19	73.3	0.00	77.19	0.0	77.19	1.31	-0.36	2340	52930	2780	
86-577-9-3,90-91	77.20	73.3	0.00	77.20	0.0	77.20	1.30	-0.37	2340	52930	2780	
86-577-9-3,92-93	77.22	73.3	0.00	77.22	0.0	77.22	1.31	-0.53	2330	52940	2770	
86-577-9-3,93-94	77.23	73.3	0.00	77.23	0.0	77.23	1.33	-0.56	2330	52940	2770	
86-577-9-3,95-96	77.25	73.3	0.00	77.25	0.0	77.25	1.30	-0.47	2320	52950	2760	
86-577-9-3,96-97	77.26	73.3	0.00	77.26	0.0	77.26	1.30	-0.44	2320	52960	2750	
86-577-9-3,97-98	77.27	73.3	0.00	77.27	0.0	77.27	1.22	-0.48	2320	52960	2750	
86-577-9-3,99-100	77.29	73.3	0.00	77.29	0.0	77.29	1.25	-0.48	2310	52970	2740	
86-577-9-3,100-101	77.30	73.3	0.00	77.30	0.0	77.30	1.25	-0.51	2310	52970	2740	
86-577-9-3,102-103	77.32	73.3	0.00	77.32	0.0	77.32	1.23	-0.29	2300	52980	2730	
