/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S6) Reported, corrected and composite depths for Gamma Ray Attentuation Porosity Evaluator (GRAPE) data at DSDP Hole 86-577A. doi:10.1594/PANGAEA.809122, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.442200 * LONGITUDE: 157.723200
	MINIMUM DEPTH, sediment/rock: 66.4 m * MAXIMUM DEPTH, sediment/rock: 122.9 m
Event(s):	86-577A * LATITUDE: 32.442200 * LONGITUDE: 157.723200 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 110.80 m * PENETRATION: 123.40 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 123.4 m cored; 0 m drilled; 89.8 % recovery
Comment:	DEPTH, sediment is the reported depth [mbsf], measured after sliding core sections to 150 cm.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected depths [mbsf] after moving tops of core sections back to 0 cm
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: after adding core offsets (Table 2)
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: GRAPE data reported as density (g/cm**3), although it is a proxy measurement for density
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: problematic GRAPE data, typically caused by void space in core sections
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	25914 data points
*/
Label	Depth [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	WBD [g/cm**3] (GRAPE data reported as densit...)	WBD [g/cm**3] (problematic GRAPE data, typic...)
86-577A-8-1,40	66.80	-0.10	66.70	-0.40	66.30	1.71	
86-577A-8-1,41.1	66.81	-0.10	66.71	-0.40	66.31	1.68	
86-577A-8-1,42.3	66.82	-0.10	66.72	-0.40	66.32	1.65	
86-577A-8-1,43.4	66.83	-0.10	66.73	-0.40	66.33	1.72	
86-577A-8-1,44.5	66.85	-0.10	66.75	-0.40	66.35	1.73	
86-577A-8-1,45.7	66.86	-0.10	66.76	-0.40	66.36	1.74	
86-577A-8-1,46.8	66.87	-0.10	66.77	-0.40	66.37	1.75	
86-577A-8-1,48	66.88	-0.10	66.78	-0.40	66.38	1.83	
86-577A-8-1,49.1	66.89	-0.10	66.79	-0.40	66.39	1.87	
86-577A-8-1,50.2	66.90	-0.10	66.80	-0.40	66.40	1.87	
86-577A-8-1,51.4	66.91	-0.10	66.81	-0.40	66.41	1.87	
86-577A-8-1,52.5	66.93	-0.10	66.83	-0.40	66.43	1.68	
86-577A-8-1,53.7	66.94	-0.10	66.84	-0.40	66.44	1.71	
86-577A-8-1,54.8	66.95	-0.10	66.85	-0.40	66.45	1.72	
86-577A-8-1,56	66.96	-0.10	66.86	-0.40	66.46	1.72	
86-577A-8-1,57.1	66.97	-0.10	66.87	-0.40	66.47	1.62	
86-577A-8-1,58.2	66.98	-0.10	66.88	-0.40	66.48	1.64	
86-577A-8-1,59.4	66.99	-0.10	66.89	-0.40	66.49	1.67	
86-577A-8-1,60.5	67.01	-0.10	66.91	-0.40	66.51	1.64	
86-577A-8-1,61.7	67.02	-0.10	66.92	-0.40	66.52	1.68	
86-577A-8-1,62.8	67.03	-0.10	66.93	-0.40	66.53	1.75	
86-577A-8-1,64	67.04	-0.10	66.94	-0.40	66.54	1.77	
86-577A-8-1,65.1	67.05	-0.10	66.95	-0.40	66.55	1.74	
86-577A-8-1,66.2	67.06	-0.10	66.96	-0.40	66.56	1.72	
86-577A-8-1,67.4	67.07	-0.10	66.97	-0.40	66.57	1.78	
86-577A-8-1,68.5	67.09	-0.10	66.99	-0.40	66.59	1.79	
86-577A-8-1,69.7	67.10	-0.10	67.00	-0.40	66.60	1.76	
86-577A-8-1,70.8	67.11	-0.10	67.01	-0.40	66.61	1.84	
86-577A-8-1,71.9	67.12	-0.10	67.02	-0.40	66.62	1.77	
86-577A-8-1,73.1	67.13	-0.10	67.03	-0.40	66.63	1.82	
86-577A-8-1,74.2	67.14	-0.10	67.04	-0.40	66.64	1.87	
86-577A-8-1,75.4	67.15	-0.10	67.05	-0.40	66.65	1.71	
86-577A-8-1,76.5	67.17	-0.10	67.07	-0.40	66.67	1.76	
86-577A-8-1,77.7	67.18	-0.10	67.08	-0.40	66.68	1.76	
86-577A-8-1,78.8	67.19	-0.10	67.09	-0.40	66.69	1.77	
86-577A-8-1,79.9	67.20	-0.10	67.10	-0.40	66.70	1.77	
86-577A-8-1,81.1	67.21	-0.10	67.11	-0.40	66.71	1.83	
86-577A-8-1,82.2	67.22	-0.10	67.12	-0.40	66.72	1.87	
86-577A-8-1,83.4	67.23	-0.10	67.13	-0.40	66.73	1.75	
86-577A-8-1,84.5	67.25	-0.10	67.15	-0.40	66.75	1.69	
86-577A-8-1,85.7	67.26	-0.10	67.16	-0.40	66.76	1.73	
86-577A-8-1,86.8	67.27	-0.10	67.17	-0.40	66.77	1.76	
86-577A-8-1,87.9	67.28	-0.10	67.18	-0.40	66.78	1.77	
86-577A-8-1,89.1	67.29	-0.10	67.19	-0.40	66.79	1.81	
86-577A-8-1,90.2	67.30	-0.10	67.20	-0.40	66.80	1.76	
86-577A-8-1,91.4	67.31	-0.10	67.21	-0.40	66.81	1.77	
86-577A-8-1,92.5	67.33	-0.10	67.23	-0.40	66.83	1.74	
86-577A-8-1,93.6	67.34	-0.10	67.24	-0.40	66.84	1.72	
86-577A-8-1,94.8	67.35	-0.10	67.25	-0.40	66.85	1.70	
86-577A-8-1,95.9	67.36	-0.10	67.26	-0.40	66.86	1.72	
86-577A-8-1,97.1	67.37	-0.10	67.27	-0.40	66.87	1.75	
86-577A-8-1,98.2	67.38	-0.10	67.28	-0.40	66.88	1.75	
86-577A-8-1,99.4	67.39	-0.10	67.29	-0.40	66.89	1.73	
86-577A-8-1,100.5	67.40	-0.10	67.30	-0.40	66.90	1.72	
86-577A-8-1,101.6	67.42	-0.10	67.32	-0.40	66.92	1.81	
86-577A-8-1,102.8	67.43	-0.10	67.33	-0.40	66.93	1.53	
86-577A-8-1,103.9	67.44	-0.10	67.34	-0.40	66.94	1.65	
86-577A-8-1,105.1	67.45	-0.10	67.35	-0.40	66.95	1.79	
86-577A-8-1,106.2	67.46	-0.10	67.36	-0.40	66.96	1.72	
86-577A-8-1,107.3	67.47	-0.10	67.37	-0.40	66.97	1.74	
86-577A-8-1,108.5	67.48	-0.10	67.38	-0.40	66.98	1.72	
86-577A-8-1,109.6	67.50	-0.10	67.40	-0.40	67.00	1.77	
86-577A-8-1,110.8	67.51	-0.10	67.41	-0.40	67.01	1.77	
86-577A-8-1,111.9	67.52	-0.10	67.42	-0.40	67.02	1.75	
86-577A-8-1,113.1	67.53	-0.10	67.43	-0.40	67.03	1.73	
86-577A-8-1,114.2	67.54	-0.10	67.44	-0.40	67.04	1.67	
86-577A-8-1,115.3	67.55	-0.10	67.45	-0.40	67.05	1.73	
86-577A-8-1,116.5	67.56	-0.10	67.46	-0.40	67.06	1.53	
86-577A-8-1,117.6	67.58	-0.10	67.48	-0.40	67.08	1.77	
86-577A-8-1,118.8	67.59	-0.10	67.49	-0.40	67.09	1.68	
86-577A-8-1,119.9	67.60	-0.10	67.50	-0.40	67.10	1.74	
86-577A-8-1,121.1	67.61	-0.10	67.51	-0.40	67.11	1.69	
86-577A-8-1,122.2	67.62	-0.10	67.52	-0.40	67.12	1.87	
86-577A-8-1,123.3	67.63	-0.10	67.53	-0.40	67.13	1.76	
86-577A-8-1,124.5	67.64	-0.10	67.54	-0.40	67.14	1.73	
86-577A-8-1,125.6	67.66	-0.10	67.56	-0.40	67.16	1.73	
86-577A-8-1,126.8	67.67	-0.10	67.57	-0.40	67.17	1.79	
86-577A-8-1,127.9	67.68	-0.10	67.58	-0.40	67.18	1.86	
86-577A-8-1,129	67.69	-0.10	67.59	-0.40	67.19	1.77	
86-577A-8-1,130.2	67.70	-0.10	67.60	-0.40	67.20	1.69	
86-577A-8-1,131.3	67.71	-0.10	67.61	-0.40	67.21	1.80	
86-577A-8-1,132.5	67.72	-0.10	67.62	-0.40	67.22	1.81	
86-577A-8-1,133.6	67.74	-0.10	67.64	-0.40	67.24	1.75	
86-577A-8-1,134.8	67.75	-0.10	67.65	-0.40	67.25	1.73	
86-577A-8-1,135.9	67.76	-0.10	67.66	-0.40	67.26	1.72	
86-577A-8-1,137	67.77	-0.10	67.67	-0.40	67.27	1.69	
86-577A-8-1,138.2	67.78	-0.10	67.68	-0.40	67.28	1.72	
86-577A-8-1,139.3	67.79	-0.10	67.69	-0.40	67.29	1.76	
86-577A-8-1,140.5	67.80	-0.10	67.70	-0.40	67.30	1.77	
86-577A-8-1,141.6	67.82	-0.10	67.72	-0.40	67.32	1.80	
86-577A-8-1,142.8	67.83	-0.10	67.73	-0.40	67.33	1.77	
86-577A-8-1,143.9	67.84	-0.10	67.74	-0.40	67.34	1.79	
86-577A-8-1,145	67.85	-0.10	67.75	-0.40	67.35	1.68	
86-577A-8-1,146.2	67.86	-0.10	67.76	-0.40	67.36		0.00
86-577A-8-1,147.3	67.87	-0.10	67.77	-0.40	67.37		0.00
86-577A-8-1,148.5	67.88	-0.10	67.78	-0.40	67.38		2.86
86-577A-8-1,149.6	67.90	-0.10	67.80	-0.40	67.40		0.00
86-577A-8-2,1.1	67.91	0.00	67.91	-0.40	67.51		0.00
86-577A-8-1,150.7	67.91	-0.10	67.81	-0.40	67.41		0.00
86-577A-8-2,2.3	67.92	0.00	67.92	-0.40	67.52		0.00
86-577A-8-1,151.9	67.92	-0.10	67.82	-0.40	67.42		0.00
86-577A-8-2,3.4	67.93	0.00	67.93	-0.40	67.53		0.00
86-577A-8-1,153	67.93	-0.10	67.83	-0.40	67.43		0.00
86-577A-8-2,4.6	67.95	0.00	67.95	-0.40	67.55	1.72	
86-577A-8-2,5.7	67.96	0.00	67.96	-0.40	67.56	1.80	
86-577A-8-2,6.9	67.97	0.00	67.97	-0.40	67.57	1.78	
86-577A-8-2,8	67.98	0.00	67.98	-0.40	67.58	1.77	
86-577A-8-2,9.1	67.99	0.00	67.99	-0.40	67.59	1.69	
86-577A-8-2,10.3	68.00	0.00	68.00	-0.40	67.60	1.78	
86-577A-8-2,11.4	68.01	0.00	68.01	-0.40	67.61	1.79	
86-577A-8-2,12.6	68.03	0.00	68.03	-0.40	67.63	1.82	
86-577A-8-2,13.7	68.04	0.00	68.04	-0.40	67.64	1.77	
86-577A-8-2,14.8	68.05	0.00	68.05	-0.40	67.65	1.72	
86-577A-8-2,16	68.06	0.00	68.06	-0.40	67.66	1.82	
86-577A-8-2,17.1	68.07	0.00	68.07	-0.40	67.67	1.82	
86-577A-8-2,18.3	68.08	0.00	68.08	-0.40	67.68	1.78	
86-577A-8-2,19.4	68.09	0.00	68.09	-0.40	67.69	1.76	
86-577A-8-2,20.6	68.11	0.00	68.11	-0.40	67.71	1.71	
86-577A-8-2,21.7	68.12	0.00	68.12	-0.40	67.72	1.69	
86-577A-8-2,22.8	68.13	0.00	68.13	-0.40	67.73	1.73	
86-577A-8-2,24	68.14	0.00	68.14	-0.40	67.74	1.79	
86-577A-8-2,25.1	68.15	0.00	68.15	-0.40	67.75	1.75	
86-577A-8-2,26.3	68.16	0.00	68.16	-0.40	67.76	1.74	
86-577A-8-2,27.4	68.17	0.00	68.17	-0.40	67.77	1.77	
86-577A-8-2,28.6	68.19	0.00	68.19	-0.40	67.79	1.76	
86-577A-8-2,29.7	68.20	0.00	68.20	-0.40	67.80	1.84	
86-577A-8-2,30.8	68.21	0.00	68.21	-0.40	67.81	1.70	
86-577A-8-2,32	68.22	0.00	68.22	-0.40	67.82	1.77	
86-577A-8-2,33.1	68.23	0.00	68.23	-0.40	67.83	1.71	
86-577A-8-2,34.3	68.24	0.00	68.24	-0.40	67.84	1.78	
86-577A-8-2,35.4	68.25	0.00	68.25	-0.40	67.85	1.66	
86-577A-8-2,36.5	68.27	0.00	68.27	-0.40	67.87	1.75	
86-577A-8-2,37.7	68.28	0.00	68.28	-0.40	67.88	1.84	
86-577A-8-2,38.8	68.29	0.00	68.29	-0.40	67.89	1.75	
86-577A-8-2,40	68.30	0.00	68.30	-0.40	67.90	1.77	
86-577A-8-2,41.1	68.31	0.00	68.31	-0.40	67.91	1.74	
86-577A-8-2,42.3	68.32	0.00	68.32	-0.40	67.92	1.77	
86-577A-8-2,43.4	68.33	0.00	68.33	-0.40	67.93	1.78	
86-577A-8-2,44.5	68.35	0.00	68.35	-0.40	67.95	1.81	
86-577A-8-2,45.7	68.36	0.00	68.36	-0.40	67.96	1.72	
86-577A-8-2,46.8	68.37	0.00	68.37	-0.40	67.97	1.77	
86-577A-8-2,48	68.38	0.00	68.38	-0.40	67.98	1.72	
86-577A-8-2,49.1	68.39	0.00	68.39	-0.40	67.99	1.77	
86-577A-8-2,50.2	68.40	0.00	68.40	-0.40	68.00	1.73	
86-577A-8-2,51.4	68.41	0.00	68.41	-0.40	68.01	1.73	
86-577A-8-2,52.5	68.43	0.00	68.43	-0.40	68.03	1.76	
86-577A-8-2,53.7	68.44	0.00	68.44	-0.40	68.04	1.82	
86-577A-8-2,54.8	68.45	0.00	68.45	-0.40	68.05	1.83	
86-577A-8-2,56	68.46	0.00	68.46	-0.40	68.06	1.81	
86-577A-8-2,57.1	68.47	0.00	68.47	-0.40	68.07	1.77	
86-577A-8-2,58.2	68.48	0.00	68.48	-0.40	68.08	1.77	
86-577A-8-2,59.4	68.49	0.00	68.49	-0.40	68.09	1.85	
86-577A-8-2,60.5	68.51	0.00	68.51	-0.40	68.11	1.79	
86-577A-8-2,61.7	68.52	0.00	68.52	-0.40	68.12	1.72	
86-577A-8-2,62.8	68.53	0.00	68.53	-0.40	68.13	1.76	
86-577A-8-2,64	68.54	0.00	68.54	-0.40	68.14	1.71	
86-577A-8-2,65.1	68.55	0.00	68.55	-0.40	68.15	1.69	
86-577A-8-2,66.2	68.56	0.00	68.56	-0.40	68.16	1.74	
86-577A-8-2,67.4	68.57	0.00	68.57	-0.40	68.17	1.69	
86-577A-8-2,68.5	68.59	0.00	68.59	-0.40	68.19	1.81	
86-577A-8-2,69.7	68.60	0.00	68.60	-0.40	68.20	1.80	
86-577A-8-2,70.8	68.61	0.00	68.61	-0.40	68.21	1.91	
86-577A-8-2,71.9	68.62	0.00	68.62	-0.40	68.22	1.78	
86-577A-8-2,73.1	68.63	0.00	68.63	-0.40	68.23	1.82	
86-577A-8-2,74.2	68.64	0.00	68.64	-0.40	68.24	1.91	
86-577A-8-2,75.4	68.65	0.00	68.65	-0.40	68.25	1.78	
86-577A-8-2,76.5	68.67	0.00	68.67	-0.40	68.27	1.82	
86-577A-8-2,77.7	68.68	0.00	68.68	-0.40	68.28	1.77	
86-577A-8-2,78.8	68.69	0.00	68.69	-0.40	68.29	1.85	
86-577A-8-2,79.9	68.70	0.00	68.70	-0.40	68.30	1.79	
86-577A-8-2,81.1	68.71	0.00	68.71	-0.40	68.31	1.82	
86-577A-8-2,82.2	68.72	0.00	68.72	-0.40	68.32	1.84	
86-577A-8-2,83.4	68.73	0.00	68.73	-0.40	68.33	1.79	
86-577A-8-2,84.5	68.75	0.00	68.75	-0.40	68.35	1.76	
86-577A-8-2,85.7	68.76	0.00	68.76	-0.40	68.36	1.82	
86-577A-8-2,86.8	68.77	0.00	68.77	-0.40	68.37	1.76	
86-577A-8-2,87.9	68.78	0.00	68.78	-0.40	68.38	1.74	
86-577A-8-2,89.1	68.79	0.00	68.79	-0.40	68.39	1.85	
86-577A-8-2,90.2	68.80	0.00	68.80	-0.40	68.40	1.84	
86-577A-8-2,91.4	68.81	0.00	68.81	-0.40	68.41	1.77	
86-577A-8-2,92.5	68.83	0.00	68.83	-0.40	68.43	1.78	
86-577A-8-2,93.6	68.84	0.00	68.84	-0.40	68.44	1.77	
86-577A-8-2,94.8	68.85	0.00	68.85	-0.40	68.45	1.77	
86-577A-8-2,95.9	68.86	0.00	68.86	-0.40	68.46	1.78	
86-577A-8-2,97.1	68.87	0.00	68.87	-0.40	68.47	1.75	
86-577A-8-2,98.2	68.88	0.00	68.88	-0.40	68.48	1.75	
86-577A-8-2,99.4	68.89	0.00	68.89	-0.40	68.49	1.67	
86-577A-8-2,100.5	68.90	0.00	68.90	-0.40	68.50	1.79	
86-577A-8-2,101.6	68.92	0.00	68.92	-0.40	68.52	1.72	
86-577A-8-2,102.8	68.93	0.00	68.93	-0.40	68.53	1.79	
86-577A-8-2,103.9	68.94	0.00	68.94	-0.40	68.54	1.72	
86-577A-8-2,105.1	68.95	0.00	68.95	-0.40	68.55	1.71	
86-577A-8-2,106.2	68.96	0.00	68.96	-0.40	68.56	1.69	
86-577A-8-2,107.3	68.97	0.00	68.97	-0.40	68.57	1.84	
86-577A-8-2,108.5	68.98	0.00	68.98	-0.40	68.58	1.74	
86-577A-8-2,109.6	69.00	0.00	69.00	-0.40	68.60	1.73	
86-577A-8-2,110.8	69.01	0.00	69.01	-0.40	68.61	1.70	
86-577A-8-2,111.9	69.02	0.00	69.02	-0.40	68.62	1.74	
86-577A-8-2,113.1	69.03	0.00	69.03	-0.40	68.63	1.81	
86-577A-8-2,114.2	69.04	0.00	69.04	-0.40	68.64	1.70	
86-577A-8-2,115.3	69.05	0.00	69.05	-0.40	68.65	1.70	
86-577A-8-2,116.5	69.06	0.00	69.06	-0.40	68.66	1.74	
86-577A-8-2,117.6	69.08	0.00	69.08	-0.40	68.68	1.80	
86-577A-8-2,118.8	69.09	0.00	69.09	-0.40	68.69	1.80	
86-577A-8-2,119.9	69.10	0.00	69.10	-0.40	68.70	1.79	
86-577A-8-2,121.1	69.11	0.00	69.11	-0.40	68.71	1.85	
86-577A-8-2,122.2	69.12	0.00	69.12	-0.40	68.72	1.80	
86-577A-8-2,123.3	69.13	0.00	69.13	-0.40	68.73	1.75	
86-577A-8-2,124.5	69.14	0.00	69.14	-0.40	68.74	1.67	
86-577A-8-2,125.6	69.16	0.00	69.16	-0.40	68.76	1.75	
86-577A-8-2,126.8	69.17	0.00	69.17	-0.40	68.77	1.79	
86-577A-8-2,127.9	69.18	0.00	69.18	-0.40	68.78	1.75	
86-577A-8-2,129	69.19	0.00	69.19	-0.40	68.79	1.75	
86-577A-8-2,130.2	69.20	0.00	69.20	-0.40	68.80	1.82	
86-577A-8-2,131.3	69.21	0.00	69.21	-0.40	68.81	1.77	
86-577A-8-2,132.5	69.22	0.00	69.22	-0.40	68.82	1.75	
86-577A-8-2,133.6	69.24	0.00	69.24	-0.40	68.84	1.74	
86-577A-8-2,134.8	69.25	0.00	69.25	-0.40	68.85	1.77	
86-577A-8-2,135.9	69.26	0.00	69.26	-0.40	68.86	1.79	
86-577A-8-2,137	69.27	0.00	69.27	-0.40	68.87	1.70	
86-577A-8-2,138.2	69.28	0.00	69.28	-0.40	68.88	1.73	
86-577A-8-2,139.3	69.29	0.00	69.29	-0.40	68.89	1.73	
86-577A-8-2,140.5	69.30	0.00	69.30	-0.40	68.90	1.73	
86-577A-8-2,141.6	69.32	0.00	69.32	-0.40	68.92	1.69	
86-577A-8-2,142.8	69.33	0.00	69.33	-0.40	68.93	1.76	
86-577A-8-2,143.9	69.34	0.00	69.34	-0.40	68.94	1.70	
86-577A-8-2,145	69.35	0.00	69.35	-0.40	68.95	1.69	
86-577A-8-2,146.2	69.36	0.00	69.36	-0.40	68.96	1.71	
86-577A-8-2,147.3	69.37	0.00	69.37	-0.40	68.97	1.75	
86-577A-8-2,148.5	69.38	0.00	69.38	-0.40	68.98	1.74	
86-577A-8-2,149.6	69.40	0.00	69.40	-0.40	69.00	1.74	
86-577A-8-3,1.1	69.41	0.00	69.41	-0.40	69.01	1.72	
86-577A-8-2,150.7	69.41	0.00	69.41	-0.40	69.01		1.38
86-577A-8-3,2.3	69.42	0.00	69.42	-0.40	69.02	1.77	
86-577A-8-2,151.9	69.42	0.00	69.42	-0.40	69.02		0.00
86-577A-8-3,3.4	69.43	0.00	69.43	-0.40	69.03	1.80	
86-577A-8-2,153	69.43	0.00	69.43	-0.40	69.03		0.00
86-577A-8-2,154.2	69.44	0.00	69.44	-0.40	69.04		0.00
86-577A-8-3,4.6	69.45	0.00	69.45	-0.40	69.05	1.82	
86-577A-8-3,5.7	69.46	0.00	69.46	-0.40	69.06	1.76	
86-577A-8-3,6.9	69.47	0.00	69.47	-0.40	69.07	1.77	
86-577A-8-3,8	69.48	0.00	69.48	-0.40	69.08	1.78	
86-577A-8-3,9.1	69.49	0.00	69.49	-0.40	69.09	1.80	
86-577A-8-3,10.3	69.50	0.00	69.50	-0.40	69.10	1.81	
86-577A-8-3,11.4	69.51	0.00	69.51	-0.40	69.11	1.84	
86-577A-8-3,12.6	69.53	0.00	69.53	-0.40	69.13	1.80	
86-577A-8-3,13.7	69.54	0.00	69.54	-0.40	69.14	1.79	
86-577A-8-3,14.8	69.55	0.00	69.55	-0.40	69.15	1.81	
86-577A-8-3,16	69.56	0.00	69.56	-0.40	69.16	1.79	
86-577A-8-3,17.1	69.57	0.00	69.57	-0.40	69.17	1.67	
86-577A-8-3,18.3	69.58	0.00	69.58	-0.40	69.18	1.83	
86-577A-8-3,19.4	69.59	0.00	69.59	-0.40	69.19	1.82	
86-577A-8-3,20.6	69.61	0.00	69.61	-0.40	69.21	1.82	
