/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S7) Reported, corrected and composite depths for Gamma Ray Attentuation Porosity Evaluator (GRAPE) data at DSDP Hole 86-577B. doi:10.1594/PANGAEA.809123, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.441300 * LONGITUDE: 157.723200
	MINIMUM DEPTH, sediment/rock: 104.4 m * MAXIMUM DEPTH, sediment/rock: 113.4 m
Event(s):	86-577B * LATITUDE: 32.441300 * LONGITUDE: 157.723200 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 9.60 m * PENETRATION: 113.90 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 1 cores; 9.5 m cored; 0 m drilled; 101.4 % recovery
Comment:	DEPTH, sediment is the reported depth [mbsf], measured after sliding core sections to 150 cm.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected depths [mbsf] after moving tops of core sections back to 0 cm
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: after adding core offsets (Table 2)
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: GRAPE data reported as density (g/cm**3), although it is a proxy measurement for density
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: problematic GRAPE data, typically caused by void space in core sections
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	4865 data points
*/
Label	Depth [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	WBD [g/cm**3] (GRAPE data reported as densit...)	WBD [g/cm**3] (problematic GRAPE data, typic...)
86-577B-1-1,42.3	104.82	0.00	104.82	2.15	106.97	1.64	
86-577B-1-1,43.4	104.83	0.00	104.83	2.15	106.98	1.66	
86-577B-1-1,44.5	104.85	0.00	104.85	2.15	107.00	1.67	
86-577B-1-1,45.7	104.86	0.00	104.86	2.15	107.01	1.62	
86-577B-1-1,46.8	104.87	0.00	104.87	2.15	107.02	1.76	
86-577B-1-1,48	104.88	0.00	104.88	2.15	107.03	1.62	
86-577B-1-1,49.1	104.89	0.00	104.89	2.15	107.04	1.73	
86-577B-1-1,50.2	104.90	0.00	104.90	2.15	107.05	1.71	
86-577B-1-1,51.4	104.91	0.00	104.91	2.15	107.06	1.68	
86-577B-1-1,52.5	104.93	0.00	104.93	2.15	107.08	1.69	
86-577B-1-1,53.7	104.94	0.00	104.94	2.15	107.09	1.62	
86-577B-1-1,54.8	104.95	0.00	104.95	2.15	107.10	1.73	
86-577B-1-1,56	104.96	0.00	104.96	2.15	107.11	1.66	
86-577B-1-1,57.1	104.97	0.00	104.97	2.15	107.12	1.67	
86-577B-1-1,58.2	104.98	0.00	104.98	2.15	107.13	1.68	
86-577B-1-1,59.4	104.99	0.00	104.99	2.15	107.14	1.70	
86-577B-1-1,60.5	105.01	0.00	105.01	2.15	107.16	1.66	
86-577B-1-1,61.7	105.02	0.00	105.02	2.15	107.17	1.75	
86-577B-1-1,62.8	105.03	0.00	105.03	2.15	107.18	1.68	
86-577B-1-1,64	105.04	0.00	105.04	2.15	107.19	1.65	
86-577B-1-1,65.1	105.05	0.00	105.05	2.15	107.20	1.69	
86-577B-1-1,66.2	105.06	0.00	105.06	2.15	107.21	1.63	
86-577B-1-1,67.4	105.07	0.00	105.07	2.15	107.22	1.72	
86-577B-1-1,68.5	105.09	0.00	105.09	2.15	107.24	1.68	
86-577B-1-1,69.7	105.10	0.00	105.10	2.15	107.25	1.67	
86-577B-1-1,70.8	105.11	0.00	105.11	2.15	107.26	1.72	
86-577B-1-1,71.9	105.12	0.00	105.12	2.15	107.27	1.65	
86-577B-1-1,73.1	105.13	0.00	105.13	2.15	107.28	1.59	
86-577B-1-1,74.2	105.14	0.00	105.14	2.15	107.29	1.70	
86-577B-1-1,75.4	105.15	0.00	105.15	2.15	107.30	1.63	
86-577B-1-1,76.5	105.17	0.00	105.17	2.15	107.32	1.72	
86-577B-1-1,77.7	105.18	0.00	105.18	2.15	107.33	1.58	
86-577B-1-1,78.8	105.19	0.00	105.19	2.15	107.34	1.68	
86-577B-1-1,79.9	105.20	0.00	105.20	2.15	107.35	1.70	
86-577B-1-1,81.1	105.21	0.00	105.21	2.15	107.36	1.64	
86-577B-1-1,82.2	105.22	0.00	105.22	2.15	107.37	1.64	
86-577B-1-1,83.4	105.23	0.00	105.23	2.15	107.38	1.66	
86-577B-1-1,84.5	105.25	0.00	105.25	2.15	107.40	1.64	
86-577B-1-1,85.7	105.26	0.00	105.26	2.15	107.41	1.64	
86-577B-1-1,86.8	105.27	0.00	105.27	2.15	107.42	1.50	
86-577B-1-1,87.9	105.28	0.00	105.28	2.15	107.43	1.65	
86-577B-1-1,89.1	105.29	0.00	105.29	2.15	107.44	1.68	
86-577B-1-1,90.2	105.30	0.00	105.30	2.15	107.45	1.72	
86-577B-1-1,91.4	105.31	0.00	105.31	2.15	107.46	1.65	
86-577B-1-1,92.5	105.33	0.00	105.33	2.15	107.48	1.69	
86-577B-1-1,93.6	105.34	0.00	105.34	2.15	107.49	1.65	
86-577B-1-1,94.8	105.35	0.00	105.35	2.15	107.50	1.66	
86-577B-1-1,95.9	105.36	0.00	105.36	2.15	107.51	1.68	
86-577B-1-1,97.1	105.37	0.00	105.37	2.15	107.52	1.67	
86-577B-1-1,98.2	105.38	0.00	105.38	2.15	107.53	1.68	
86-577B-1-1,99.4	105.39	0.00	105.39	2.15	107.54	1.69	
86-577B-1-1,100.5	105.40	0.00	105.40	2.15	107.55	1.63	
86-577B-1-1,101.6	105.42	0.00	105.42	2.15	107.57	1.69	
86-577B-1-1,102.8	105.43	0.00	105.43	2.15	107.58	1.67	
86-577B-1-1,103.9	105.44	0.00	105.44	2.15	107.59	1.65	
86-577B-1-1,105.1	105.45	0.00	105.45	2.15	107.60	1.62	
86-577B-1-1,106.2	105.46	0.00	105.46	2.15	107.61	1.63	
86-577B-1-1,107.3	105.47	0.00	105.47	2.15	107.62	1.60	
86-577B-1-1,108.5	105.48	0.00	105.48	2.15	107.63	1.68	
86-577B-1-1,109.6	105.50	0.00	105.50	2.15	107.65	1.67	
86-577B-1-1,110.8	105.51	0.00	105.51	2.15	107.66	1.66	
86-577B-1-1,111.9	105.52	0.00	105.52	2.15	107.67	1.70	
86-577B-1-1,113.1	105.53	0.00	105.53	2.15	107.68	1.62	
86-577B-1-1,114.2	105.54	0.00	105.54	2.15	107.69	1.71	
86-577B-1-1,115.3	105.55	0.00	105.55	2.15	107.70	1.65	
86-577B-1-1,116.5	105.56	0.00	105.56	2.15	107.71	1.61	
86-577B-1-1,117.6	105.58	0.00	105.58	2.15	107.73	1.72	
86-577B-1-1,118.8	105.59	0.00	105.59	2.15	107.74	1.70	
86-577B-1-1,119.9	105.60	0.00	105.60	2.15	107.75	1.62	
86-577B-1-1,121.1	105.61	0.00	105.61	2.15	107.76	1.66	
86-577B-1-1,122.2	105.62	0.00	105.62	2.15	107.77	1.71	
86-577B-1-1,123.3	105.63	0.00	105.63	2.15	107.78		1.50
86-577B-1-1,124.5	105.64	0.00	105.64	2.15	107.79		2.62
86-577B-1-1,125.6	105.66	0.00	105.66	2.15	107.81		0.00
86-577B-1-1,126.8	105.67	0.00	105.67	2.15	107.82		0.00
86-577B-1-1,127.9	105.68	0.00	105.68	2.15	107.83		1.66
86-577B-1-1,129	105.69	0.00	105.69	2.15	107.84		0.00
86-577B-1-1,130.2	105.70	0.00	105.70	2.15	107.85		0.00
86-577B-1-1,131.3	105.71	0.00	105.71	2.15	107.86		2.07
86-577B-1-1,132.5	105.72	0.00	105.72	2.15	107.87		2.16
86-577B-1-1,133.6	105.74	0.00	105.74	2.15	107.89		0.00
86-577B-1-1,134.8	105.75	0.00	105.75	2.15	107.90		0.00
86-577B-1-1,135.9	105.76	0.00	105.76	2.15	107.91		0.00
86-577B-1-1,137	105.77	0.00	105.77	2.15	107.92		1.65
86-577B-1-1,138.2	105.78	0.00	105.78	2.15	107.93		0.00
86-577B-1-1,139.3	105.79	0.00	105.79	2.15	107.94		0.00
86-577B-1-1,140.5	105.80	0.00	105.80	2.15	107.95		1.65
86-577B-1-1,141.6	105.82	0.00	105.82	2.15	107.97		1.73
86-577B-1-1,142.8	105.83	0.00	105.83	2.15	107.98		1.73
86-577B-1-1,143.9	105.84	0.00	105.84	2.15	107.99		0.00
86-577B-1-1,145	105.85	0.00	105.85	2.15	108.00		2.62
86-577B-1-1,146.2	105.86	0.00	105.86	2.15	108.01		0.00
86-577B-1-1,147.3	105.87	0.00	105.87	2.15	108.02		1.89
86-577B-1-1,148.5	105.88	0.00	105.88	2.15	108.03		1.36
86-577B-1-1,149.6	105.90	0.00	105.90	2.15	108.05		1.54
86-577B-1-1,150.7	105.91	0.00	105.91	2.15	108.06		0.00
86-577B-1-2,1.1	105.91	0.00	105.91	2.15	108.06		0.00
86-577B-1-1,151.9	105.92	0.00	105.92	2.15	108.07		0.00
86-577B-1-2,2.3	105.92	0.00	105.92	2.15	108.07		0.00
86-577B-1-1,153	105.93	0.00	105.93	2.15	108.08		0.00
86-577B-1-2,3.4	105.93	0.00	105.93	2.15	108.08		0.00
86-577B-1-1,154.2	105.94	0.00	105.94	2.15	108.09		0.00
86-577B-1-1,155.3	105.95	0.00	105.95	2.15	108.10		0.00
86-577B-1-2,4.6	105.95	0.00	105.95	2.15	108.10	1.66	
86-577B-1-2,5.7	105.96	0.00	105.96	2.15	108.11	1.71	
86-577B-1-2,6.9	105.97	0.00	105.97	2.15	108.12	1.72	
86-577B-1-2,8	105.98	0.00	105.98	2.15	108.13	1.69	
86-577B-1-2,9.1	105.99	0.00	105.99	2.15	108.14	1.77	
86-577B-1-2,10.3	106.00	0.00	106.00	2.15	108.15	1.67	
86-577B-1-2,11.4	106.01	0.00	106.01	2.15	108.16	1.76	
86-577B-1-2,12.6	106.03	0.00	106.03	2.15	108.18	1.74	
86-577B-1-2,13.7	106.04	0.00	106.04	2.15	108.19	1.69	
86-577B-1-2,14.8	106.05	0.00	106.05	2.15	108.20	1.72	
86-577B-1-2,16	106.06	0.00	106.06	2.15	108.21	1.63	
86-577B-1-2,17.1	106.07	0.00	106.07	2.15	108.22	1.72	
86-577B-1-2,18.3	106.08	0.00	106.08	2.15	108.23	1.72	
86-577B-1-2,19.4	106.09	0.00	106.09	2.15	108.24	1.77	
86-577B-1-2,20.6	106.11	0.00	106.11	2.15	108.26	1.73	
86-577B-1-2,21.7	106.12	0.00	106.12	2.15	108.27	1.75	
86-577B-1-2,22.8	106.13	0.00	106.13	2.15	108.28	1.69	
86-577B-1-2,24	106.14	0.00	106.14	2.15	108.29	1.80	
86-577B-1-2,25.1	106.15	0.00	106.15	2.15	108.30	1.76	
86-577B-1-2,26.3	106.16	0.00	106.16	2.15	108.31	1.71	
86-577B-1-2,27.4	106.17	0.00	106.17	2.15	108.32	1.65	
86-577B-1-2,28.6	106.19	0.00	106.19	2.15	108.34	1.68	
86-577B-1-2,29.7	106.20	0.00	106.20	2.15	108.35	1.64	
86-577B-1-2,30.8	106.21	0.00	106.21	2.15	108.36	1.78	
86-577B-1-2,32	106.22	0.00	106.22	2.15	108.37	1.69	
86-577B-1-2,33.1	106.23	0.00	106.23	2.15	108.38	1.73	
86-577B-1-2,34.3	106.24	0.00	106.24	2.15	108.39	1.71	
86-577B-1-2,35.4	106.25	0.00	106.25	2.15	108.40	1.74	
86-577B-1-2,36.5	106.27	0.00	106.27	2.15	108.42	1.75	
86-577B-1-2,37.7	106.28	0.00	106.28	2.15	108.43	1.69	
86-577B-1-2,38.8	106.29	0.00	106.29	2.15	108.44	1.72	
86-577B-1-2,40	106.30	0.00	106.30	2.15	108.45	1.80	
86-577B-1-2,41.1	106.31	0.00	106.31	2.15	108.46	1.77	
86-577B-1-2,42.3	106.32	0.00	106.32	2.15	108.47	1.72	
86-577B-1-2,43.4	106.33	0.00	106.33	2.15	108.48	1.75	
86-577B-1-2,44.5	106.35	0.00	106.35	2.15	108.50	1.70	
86-577B-1-2,45.7	106.36	0.00	106.36	2.15	108.51	1.74	
86-577B-1-2,46.8	106.37	0.00	106.37	2.15	108.52	1.70	
86-577B-1-2,48	106.38	0.00	106.38	2.15	108.53	1.74	
86-577B-1-2,49.1	106.39	0.00	106.39	2.15	108.54	1.76	
86-577B-1-2,50.2	106.40	0.00	106.40	2.15	108.55	1.75	
86-577B-1-2,51.4	106.41	0.00	106.41	2.15	108.56	1.79	
86-577B-1-2,52.5	106.43	0.00	106.43	2.15	108.58	1.73	
86-577B-1-2,53.7	106.44	0.00	106.44	2.15	108.59	1.81	
86-577B-1-2,54.8	106.45	0.00	106.45	2.15	108.60	1.74	
86-577B-1-2,56	106.46	0.00	106.46	2.15	108.61	1.74	
86-577B-1-2,57.1	106.47	0.00	106.47	2.15	108.62	1.75	
86-577B-1-2,58.2	106.48	0.00	106.48	2.15	108.63	1.74	
86-577B-1-2,59.4	106.49	0.00	106.49	2.15	108.64	1.73	
86-577B-1-2,60.5	106.51	0.00	106.51	2.15	108.66	1.75	
86-577B-1-2,61.7	106.52	0.00	106.52	2.15	108.67	1.71	
86-577B-1-2,62.8	106.53	0.00	106.53	2.15	108.68	1.70	
86-577B-1-2,64	106.54	0.00	106.54	2.15	108.69	1.71	
86-577B-1-2,65.1	106.55	0.00	106.55	2.15	108.70	1.76	
86-577B-1-2,66.2	106.56	0.00	106.56	2.15	108.71	1.75	
86-577B-1-2,67.4	106.57	0.00	106.57	2.15	108.72	1.77	
86-577B-1-2,68.5	106.59	0.00	106.59	2.15	108.74	1.69	
86-577B-1-2,69.7	106.60	0.00	106.60	2.15	108.75	1.72	
86-577B-1-2,70.8	106.61	0.00	106.61	2.15	108.76	1.72	
86-577B-1-2,71.9	106.62	0.00	106.62	2.15	108.77	1.77	
86-577B-1-2,73.1	106.63	0.00	106.63	2.15	108.78	1.67	
86-577B-1-2,74.2	106.64	0.00	106.64	2.15	108.79	1.72	
86-577B-1-2,75.4	106.65	0.00	106.65	2.15	108.80	1.83	
86-577B-1-2,76.5	106.67	0.00	106.67	2.15	108.82	1.77	
86-577B-1-2,77.7	106.68	0.00	106.68	2.15	108.83	1.72	
86-577B-1-2,78.8	106.69	0.00	106.69	2.15	108.84	1.72	
86-577B-1-2,79.9	106.70	0.00	106.70	2.15	108.85	1.76	
86-577B-1-2,81.1	106.71	0.00	106.71	2.15	108.86	1.76	
86-577B-1-2,82.2	106.72	0.00	106.72	2.15	108.87	1.70	
86-577B-1-2,83.4	106.73	0.00	106.73	2.15	108.88	1.72	
86-577B-1-2,84.5	106.75	0.00	106.75	2.15	108.90	1.66	
86-577B-1-2,85.7	106.76	0.00	106.76	2.15	108.91	1.68	
86-577B-1-2,86.8	106.77	0.00	106.77	2.15	108.92	1.69	
86-577B-1-2,87.9	106.78	0.00	106.78	2.15	108.93	1.69	
86-577B-1-2,89.1	106.79	0.00	106.79	2.15	108.94	1.72	
86-577B-1-2,90.2	106.80	0.00	106.80	2.15	108.95	1.71	
86-577B-1-2,91.4	106.81	0.00	106.81	2.15	108.96	1.77	
86-577B-1-2,92.5	106.83	0.00	106.83	2.15	108.98	1.76	
86-577B-1-2,93.6	106.84	0.00	106.84	2.15	108.99	1.71	
86-577B-1-2,94.8	106.85	0.00	106.85	2.15	109.00	1.68	
86-577B-1-2,95.9	106.86	0.00	106.86	2.15	109.01	1.68	
86-577B-1-2,97.1	106.87	0.00	106.87	2.15	109.02	1.74	
86-577B-1-2,98.2	106.88	0.00	106.88	2.15	109.03	1.75	
86-577B-1-2,99.4	106.89	0.00	106.89	2.15	109.04	1.69	
86-577B-1-2,100.5	106.90	0.00	106.90	2.15	109.05	1.77	
86-577B-1-2,101.6	106.92	0.00	106.92	2.15	109.07	1.64	
86-577B-1-2,102.8	106.93	0.00	106.93	2.15	109.08	1.73	
86-577B-1-2,103.9	106.94	0.00	106.94	2.15	109.09	1.69	
86-577B-1-2,105.1	106.95	0.00	106.95	2.15	109.10	1.67	
86-577B-1-2,106.2	106.96	0.00	106.96	2.15	109.11	1.72	
86-577B-1-2,107.3	106.97	0.00	106.97	2.15	109.12	1.73	
86-577B-1-2,108.5	106.98	0.00	106.98	2.15	109.13	1.78	
86-577B-1-2,109.6	107.00	0.00	107.00	2.15	109.15	1.70	
86-577B-1-2,110.8	107.01	0.00	107.01	2.15	109.16	1.75	
86-577B-1-2,111.9	107.02	0.00	107.02	2.15	109.17	1.75	
86-577B-1-2,113.1	107.03	0.00	107.03	2.15	109.18	1.77	
86-577B-1-2,114.2	107.04	0.00	107.04	2.15	109.19	1.67	
86-577B-1-2,115.3	107.05	0.00	107.05	2.15	109.20	1.67	
86-577B-1-2,116.5	107.06	0.00	107.06	2.15	109.21	1.68	
86-577B-1-2,117.6	107.08	0.00	107.08	2.15	109.23	1.65	
86-577B-1-2,118.8	107.09	0.00	107.09	2.15	109.24	1.72	
86-577B-1-2,119.9	107.10	0.00	107.10	2.15	109.25	1.72	
86-577B-1-2,121.1	107.11	0.00	107.11	2.15	109.26	1.72	
86-577B-1-2,122.2	107.12	0.00	107.12	2.15	109.27	1.74	
86-577B-1-2,123.3	107.13	0.00	107.13	2.15	109.28	1.66	
86-577B-1-2,124.5	107.14	0.00	107.14	2.15	109.29	1.66	
86-577B-1-2,125.6	107.16	0.00	107.16	2.15	109.31	1.61	
86-577B-1-2,126.8	107.17	0.00	107.17	2.15	109.32	1.65	
86-577B-1-2,127.9	107.18	0.00	107.18	2.15	109.33	1.65	
86-577B-1-2,129	107.19	0.00	107.19	2.15	109.34	1.69	
86-577B-1-2,130.2	107.20	0.00	107.20	2.15	109.35	1.67	
86-577B-1-2,131.3	107.21	0.00	107.21	2.15	109.36	1.69	
86-577B-1-2,132.5	107.22	0.00	107.22	2.15	109.37	1.71	
86-577B-1-2,133.6	107.24	0.00	107.24	2.15	109.39	1.67	
86-577B-1-2,134.8	107.25	0.00	107.25	2.15	109.40	1.63	
86-577B-1-2,135.9	107.26	0.00	107.26	2.15	109.41	1.65	
86-577B-1-2,137	107.27	0.00	107.27	2.15	109.42	1.70	
86-577B-1-2,138.2	107.28	0.00	107.28	2.15	109.43	1.67	
86-577B-1-2,139.3	107.29	0.00	107.29	2.15	109.44	1.71	
86-577B-1-2,140.5	107.30	0.00	107.30	2.15	109.45	1.71	
86-577B-1-2,141.6	107.32	0.00	107.32	2.15	109.47	1.69	
86-577B-1-2,142.8	107.33	0.00	107.33	2.15	109.48	1.75	
86-577B-1-2,143.9	107.34	0.00	107.34	2.15	109.49	1.73	
86-577B-1-2,145	107.35	0.00	107.35	2.15	109.50	1.69	
86-577B-1-2,146.2	107.36	0.00	107.36	2.15	109.51	1.72	
86-577B-1-2,147.3	107.37	0.00	107.37	2.15	109.52	1.74	
86-577B-1-2,148.5	107.38	0.00	107.38	2.15	109.53	1.74	
86-577B-1-2,149.6	107.40	0.00	107.40	2.15	109.55	1.63	
86-577B-1-2,150.7	107.41	0.00	107.41	2.15	109.56		0.00
86-577B-1-3,1.1	107.41	0.00	107.41	2.15	109.56		0.00
86-577B-1-2,151.9	107.42	0.00	107.42	2.15	109.57		0.00
86-577B-1-3,2.3	107.42	0.00	107.42	2.15	109.57		0.00
86-577B-1-2,153	107.43	0.00	107.43	2.15	109.58		0.00
86-577B-1-3,3.4	107.43	0.00	107.43	2.15	109.58		0.00
86-577B-1-2,154.2	107.44	0.00	107.44	2.15	109.59		0.00
86-577B-1-3,4.6	107.45	0.00	107.45	2.15	109.60		0.00
86-577B-1-3,5.7	107.46	0.00	107.46	2.15	109.61		0.00
86-577B-1-3,6.9	107.47	0.00	107.47	2.15	109.62		0.00
86-577B-1-3,8	107.48	0.00	107.48	2.15	109.63		2.67
86-577B-1-3,9.1	107.49	0.00	107.49	2.15	109.64	1.76	
86-577B-1-3,10.3	107.50	0.00	107.50	2.15	109.65	1.64	
86-577B-1-3,11.4	107.51	0.00	107.51	2.15	109.66	1.71	
86-577B-1-3,12.6	107.53	0.00	107.53	2.15	109.68	1.79	
86-577B-1-3,13.7	107.54	0.00	107.54	2.15	109.69		0.00
86-577B-1-3,14.8	107.55	0.00	107.55	2.15	109.70		0.00
86-577B-1-3,16	107.56	0.00	107.56	2.15	109.71		0.00
86-577B-1-3,17.1	107.57	0.00	107.57	2.15	109.72	1.77	
86-577B-1-3,18.3	107.58	0.00	107.58	2.15	109.73	1.80	
86-577B-1-3,19.4	107.59	0.00	107.59	2.15	109.74	1.73	
86-577B-1-3,20.6	107.61	0.00	107.61	2.15	109.76	1.76	
86-577B-1-3,21.7	107.62	0.00	107.62	2.15	109.77	1.78	
86-577B-1-3,22.8	107.63	0.00	107.63	2.15	109.78	1.78	
86-577B-1-3,24	107.64	0.00	107.64	2.15	109.79	1.75	
86-577B-1-3,25.1	107.65	0.00	107.65	2.15	109.80		0.00
86-577B-1-3,26.3	107.66	0.00	107.66	2.15	109.81		2.04
86-577B-1-3,27.4	107.67	0.00	107.67	2.15	109.82		0.00
86-577B-1-3,28.6	107.69	0.00	107.69	2.15	109.84	1.78	
86-577B-1-3,29.7	107.70	0.00	107.70	2.15	109.85	1.69	
86-577B-1-3,30.8	107.71	0.00	107.71	2.15	109.86	1.64	
86-577B-1-3,32	107.72	0.00	107.72	2.15	109.87	1.62	
