/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S8) Recalibrated depth and ages for previously published stable isotope data from DSDP Site 86-577. doi:10.1594/PANGAEA.809130, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Related to:	Shackleton, Nicholas J; Hall, Michael A; Bleil, Ulrich (1985): Carbon-isotope stratigraphy, Site 577. In: Heath GR; Burckle LH; et al. (eds.), Initial Reports of the Deep Sea Drilling Project, Washington (U.S. Govt. Printing Office), 86, 503-510, doi:10.2973/dsdp.proc.86.119.1985
	Westerhold, Thomas; Röhl, Ursula; Laskar, Jacques (2012): Time scale controversy: Accurate orbital calibration of early Paleogene. Geochemistry Geophysics Geosystems, 13, Q06015, doi:10.1029/2012GC004096
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, doi:10.1016/j.palaeo.2007.09.016
Original version:	Shackleton, Nicholas J; Hall, Michael A; Bleil, Ulrich (1985): (Table 1) Carbon- and oxygen-isotopes for bulk sediment carbonate at DSDP Holes 86-577 and 86-577A. doi:10.1594/PANGAEA.802303
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	MEDIAN LATITUDE: 32.442000 * MEDIAN LONGITUDE: 157.723250 * SOUTH-BOUND LATITUDE: 32.441800 * WEST-BOUND LONGITUDE: 157.723200 * NORTH-BOUND LATITUDE: 32.442200 * EAST-BOUND LONGITUDE: 157.723300
	MINIMUM DEPTH, sediment/rock: 68.3 m * MAXIMUM DEPTH, sediment/rock: 104.2 m
Event(s):	86-577 * LATITUDE: 32.441800 * LONGITUDE: 157.723300 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 111.10 m * PENETRATION: 118.80 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 118.8 m cored; 0 m drilled; 93.5 % recovery
	86-577A * LATITUDE: 32.442200 * LONGITUDE: 157.723200 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 110.80 m * PENETRATION: 123.40 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 123.4 m cored; 0 m drilled; 89.8 % recovery
Comment:	Placement of previously published bulk and benthic foraminifera stable carbon isotope data for Upper Cretaceous and Lower Paleogene sediment at DSDP Site 577 according to composite depth scale and an updated time scale (Westerhold et al., 2008, 2012). Isotope data were reported by Shackleton et al. (1985). DEPTH, sediment is the depth [mbsf] reported by Shackleton et al. (1985). Note that depths for CC samples are not consistent with core logs.
Parameter(s):	Event label (Event) * Metadata
	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: we have relabled core catcher (CC) samples as an additional section for purposes of math; given in brackets
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Depth, top/min [m] (Depth top) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: core top [mbsf], reported according to drillers table (Shipboard Scientific Party, 1985) and with positions of CC intervals from core logs
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: fix [mbsf], assuming average interval distance and the above
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: offset of cores from Table 2
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: adjusted, the depth of the sample in floating depth space [mcd] relative to m below seafloor
	delta 13C, carbonate [per mil PDB] (d13C carb) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton)
	delta 18O, carbonate [per mil PDB] (d18O carb) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton)
	Age model [ka] (Age model) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: reported age
	Age model, optional [ka] (Age model opt) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age on Option 1 time by Westerhold et al. (2008) as determined by linear sedimentaton between six polarity chron reversals and data on a mcd depth scale
	Age model, optional [ka] (Age model opt) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: age as above, but assuming no core gaps and overlaps
	Comment (Comment) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: blue horizons are approximate positions of polarity chron reversals
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2115 data points
*/
Event	Label	Depth [m]	Depth top [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	d13C carb [per mil PDB]	d18O carb [per mil PDB]	Age model [ka]	Age model opt [ka] (estimated age on Option 1 tim...)	Age model opt [ka] (age as above, but assuming no...)	Comment
86-577	86-577-9H-6,120-121	82.00	73.3	0.00	82.01	0.0	82.01	2.20	-0.81	57640	54770	55140	
86-577	86-577-9H-CC (86-577-9H-7,8-9)	82.08	73.3	-0.30	82.09	0.0	82.09	2.17	-0.74	57690	54800	55180	
86-577	86-577-10H-1,30-31	83.10	82.8	0.00	83.11	1.5	84.61	3.28	-0.76	57960	55760	55630	
86-577	86-577-10H-1,60-61	83.40	82.8	0.00	83.41	1.5	84.91	3.10	-0.67	58050	55880	55760	
86-577	86-577-10H-1,90-91	83.70	82.8	0.00	83.71	1.5	85.21	3.22	-0.81	58130	55990	55890	
86-577	86-577-10H-1,120-121	84.00	82.8	0.00	84.01	1.5	85.51	3.42	-0.49	58220	56110	56020	
86-577	86-577-10H-2,0-1	84.30	82.8	0.00	84.31	1.5	85.81	3.24	-0.75	58310	56220	56160	
86-577	86-577-10H-2,30-31	84.60	82.8	0.00	84.61	1.5	86.11	3.59	-0.65	58390	56340	56290	
86-577	86-577-10H-2,60-61	84.90	82.8	0.00	84.91	1.5	86.41	3.53	-1.08	58480	56450	56420	
86-577	86-577-10H-2,90-91	85.20	82.8	0.00	85.21	1.5	86.71	3.61	-0.96	58570	56570	56550	
86-577	86-577-10H-2,120-121	85.50	82.8	0.00	85.51	1.5	87.01	3.45	-0.94	58650	56680	56130	Top C25n, 56.66 Ma
86-577	86-577-10H-3,0-1	85.80	82.8	0.00	85.81	1.5	87.31	3.49	-0.96	58740	56770	56240	
86-577	86-577-10H-3,30-31	86.10	82.8	0.00	86.11	1.5	87.61	3.07	-1.03	58820	56870	56350	
86-577	86-577-10H-3,60-61	86.40	82.8	0.00	86.41	1.5	87.91	3.40	-0.99	58900	56970	56460	
86-577	86-577-10H-3,90-91	86.70	82.8	0.00	86.71	1.5	88.21	3.79	-0.93	58980	57060	56570	
86-577	86-577-10H-3,120-121	87.00	82.8	0.00	87.01	1.5	88.51	3.72	-0.99	59060	57160	56680	
86-577	86-577-10H-4,0-1	87.30	82.8	0.00	87.31	1.5	88.81	3.66	-1.13	59150	57250	56790	
86-577	86-577-10H-4,30-31	87.60	82.8	0.00	87.61	1.5	89.11	3.50	-1.15	59230	57350	56900	
86-577	86-577-10H-4,60-61	87.90	82.8	0.00	87.91	1.5	89.41	3.52	-1.13	59310	57450	57010	
86-577	86-577-10H-4,90-91	88.20	82.8	0.00	88.21	1.5	89.71	3.78	-1.02	59390	57540	57120	
86-577	86-577-10H-4,120-121	88.50	82.8	0.00	88.51	1.5	90.01	3.80	-0.92	59480	57640	57230	
86-577	86-577-10H-5,0-1	88.80	82.8	0.00	88.81	1.5	90.31	3.69	-1.05	59560	57730	57340	
86-577	86-577-10H-5,30-31	89.10	82.8	0.00	89.11	1.5	90.61	3.85	-0.85	59650	57830	57450	
86-577	86-577-10H-5,60-61	89.40	82.8	0.00	89.41	1.5	90.91	3.71	-1.04	59730	57930	57560	
86-577	86-577-10H-5,90-91	89.70	82.8	0.00	89.71	1.5	91.21	3.76	-0.86	59810	58020	57670	
86-577	86-577-10H-5,120-121	90.00	82.8	0.00	90.01	1.5	91.51	3.79	-0.83	59900	58120	57780	
86-577	86-577-10H-6,0-1	90.30	82.8	0.00	90.31	1.5	91.81	3.90	-0.78	59980	58210	57880	
86-577	86-577-10H-6,30-31	90.60	82.8	0.00	90.61	1.5	92.11	3.60	-0.56	60070	58310	57990	
86-577	86-577-10H-6,60-61	90.90	82.8	0.00	90.91	1.5	92.41	3.44	-0.49	60150	58410	58100	
86-577	86-577-10H-6,90-91	91.20	82.8	0.00	91.21	1.5	92.71	3.62	-0.67	60230	58500	58210	
86-577	86-577-10H-6,120-121	91.50	82.8	0.00	91.51	1.5	93.01	3.33	-0.71	60320	58600	58320	
86-577	86-577-10H-7,0-1	91.80	82.8	0.00	91.81	1.5	93.31	3.41	-0.87	60400	58690	58430	
86-577	86-577-10H-7,30-31	92.10	82.8	0.00	92.11	1.5	93.61	3.62	-1.05	60480	58790	58540	
86-577	86-577-10H-CC (86-577-10H-8,17-18)	92.27	82.8	-1.08	92.40	1.5	93.90	3.39	-1.02	60530	58880	58650	
86-577	86-577-11H-1,0-1	92.30	92.3	0.00	92.31	-1.0	91.31	3.82	-0.96	60540	58050	58620	
86-577	86-577-11H-1,30-31	92.60	92.3	0.00	92.61	-1.0	91.61	3.91	-0.88	60620	58150	58720	
86-577	86-577-11H-1,60-61	92.90	92.3	0.00	92.91	-1.0	91.91	3.65	-0.87	60710	58250	58830	
86-577	86-577-11H-1,90-91	93.20	92.3	0.00	93.21	-1.0	92.21	3.59	-0.76	60790	58340	58940	
86-577	86-577-11H-1,120-121	93.50	92.3	0.00	93.51	-1.0	92.51	3.55	-0.62	60880	58440	59050	
86-577	86-577-11H-2,0-1	93.80	92.3	0.00	93.81	-1.0	92.81	3.75	-0.45	60960	58530	59160	
86-577	86-577-11H-2,30-31	94.10	92.3	0.00	94.11	-1.0	93.11	3.29	-0.47	61040	58630	59270	
86-577	86-577-11H-2,60-61	94.40	92.3	0.00	94.41	-1.0	93.41	3.29	-1.02	61130	58730	59380	
86-577	86-577-11H-2,90-91	94.70	92.3	0.00	94.71	-1.0	93.71	2.78	-0.37	61210	58820	59490	
86-577	86-577-11H-2,120-121	95.00	92.3	0.00	95.01	-1.0	94.01	3.23	-0.85	61290	58920	59600	
86-577	86-577-11H-3,0-1	95.30	92.3	0.00	95.31	-1.0	94.31	3.18	-0.54	61380	59010	59710	
86-577	86-577-11H-3,30-31	95.60	92.3	0.00	95.61	-1.0	94.61	3.12	-0.71	61460	59110	59820	
86-577	86-577-11H-3,60-61	95.90	92.3	0.00	95.91	-1.0	94.91	3.04	-0.86	61550	59210	59930	
86-577	86-577-11H-3,90-91	96.20	92.3	0.00	96.21	-1.0	95.21	2.99	-0.71	61630	59300	60040	
86-577	86-577-11H-3,120-121	96.50	92.3	0.00	96.51	-1.0	95.51	2.98	-0.58	61710	59400	60150	
86-577	86-577-11H-4,0-1	96.80	92.3	0.00	96.81	-1.0	95.81	3.04	-0.58	61800	59490	60260	
86-577	86-577-11H-4,30-31	97.10	92.3	0.00	97.11	-1.0	96.11	3.08	-0.88	61880	59590	60370	
86-577	86-577-11H-4,60-61	97.40	92.3	0.00	97.41	-1.0	96.41	2.79	-0.73	61970	59690	60480	
86-577	86-577-11H-4,90-91	97.70	92.3	0.00	97.71	-1.0	96.71	3.05	-0.62	62050	59780	60590	
86-577	86-577-11H-4,120-121	98.00	92.3	0.00	98.01	-1.0	97.01	2.87	-0.66	62130	59880	60700	
86-577	86-577-11H-5,0-1	98.30	92.3	0.00	98.31	-1.0	97.31	2.91	-0.46	62220	59970	60810	
86-577	86-577-11H-5,30-31	98.60	92.3	0.00	98.61	-1.0	97.61	2.81	-0.82	62300	60070	60920	
86-577	86-577-11H-5,60-61	98.90	92.3	0.00	98.91	-1.0	97.91	2.89	-0.59	62380	60170	61020	
86-577	86-577-11H-5,90-91	99.20	92.3	0.00	99.21	-1.0	98.21	2.84	-0.49	62470	60260	61130	
86-577	86-577-11H-5,120-121	99.50	92.3	0.00	99.51	-1.0	98.51	2.59	-0.55	62550	60360	61240	
86-577	86-577-11H-6,0-1	99.80	92.3	0.00	99.81	-1.0	98.81	2.46	-0.54	62640	60450	61350	
86-577	86-577-11H-6,30-31	100.10	92.3	0.00	100.11	-1.0	99.11	2.59	-0.40	62720	60550	61460	
86-577	86-577-11H-6,60-61	100.40	92.3	0.00	100.41	-1.0	99.41	2.61	-0.91	62800	60650	61570	
86-577	86-577-11H-6,90-91	100.70	92.3	0.00	100.71	-1.0	99.71	2.70	-0.81	62890	60740	61680	
86-577	86-577-11H-6,120-121	101.00	92.3	0.00	101.01	-1.0	100.01	2.43	-0.98	62970	60840	61790	
86-577	86-577-11H-CC (86-577-11H-7,0-1)	101.30	92.3	0.00	101.31	-1.0	100.31	2.67	-0.66	63090	60930	61900	
86-577A	86-577A-9H-1,4-5	75.94	75.9	0.00	75.95	0.1	76.05	1.36	-0.14	55230	52490		
86-577A	86-577A-9H-1,30-31	76.20	75.9	0.00	76.21	0.1	76.31	1.36	-0.51	55270	52590		
86-577A	86-577A-9H-1,60-61	76.50	75.9	0.00	76.51	0.1	76.61	1.49	-0.51	55320	52710		
86-577A	86-577A-9H-1,90-91	76.80	75.9	0.00	76.81	0.1	76.91	1.48	-0.15	55370	52820		Top C24n.1n, 52.36
86-577A	86-577A-9H-1,120-121	77.10	75.9	0.00	77.11	0.1	77.21	1.45	-0.18	55430	52940		
86-577A	86-577A-9H-2,0-1	77.40	75.9	0.00	77.41	0.1	77.51	1.91	-0.45	55480	53050		
86-577A	86-577A-9H-2,30-31	77.70	75.9	0.00	77.71	0.1	77.81	1.72	-0.32	55530	53160		
86-577A	86-577A-9H-2,60-61	78.00	75.9	0.00	78.01	0.1	78.11	1.83	-0.59	55580	53280		
86-577A	86-577A-9H-2,90-91	78.30	75.9	0.00	78.31	0.1	78.41	1.97	-0.47	55630	53390		
86-577A	86-577A-9H-2,120-121	78.60	75.9	0.00	78.61	0.1	78.71	1.64	-0.42	55710	53510		
86-577A	86-577A-9H-3,0-1	78.90	75.9	0.00	78.91	0.1	79.01	1.80	-0.16	55800	53620		
86-577A	86-577A-9H-3,30-31	79.20	75.9	0.00	79.21	0.1	79.31	1.76	-0.52	55900	53740		
86-577A	86-577A-9H-3,60-61	79.50	75.9	0.00	79.51	0.1	79.61	1.74	-0.45	56000	53850		
86-577A	86-577A-9H-CC (86-577A-9H-4,5-6)	79.76	75.9	-0.84	79.62	0.1	79.72	1.84	-0.82	56080	53890		
86-577A	86-577A-10H-1,2-3	85.42	85.4	0.00	85.43	1.8	87.23	3.58	-0.92	58630	56750		Top C25n, 56.66 Ma
86-577A	86-577A-10H-1,30-31	85.70	85.4	0.00	85.71	1.8	87.51	3.27	-0.94	58710	56840		
86-577A	86-577A-10H-1,60-61	86.00	85.4	0.00	86.01	1.8	87.81	3.57	-0.96	58790	56930		
86-577A	86-577A-10H-1,79-81	86.20	85.4	0.00	86.20	1.8	88.00	3.81	-0.57	58850	57000		
86-577A	86-577A-10H-1,90-91	86.30	85.4	0.00	86.31	1.8	88.11	3.69	-1.12	58870	57030		
86-577A	86-577A-10H-1,120-121	86.60	85.4	0.00	86.61	1.8	88.41	3.74	-0.92	58950	57130		
86-577A	86-577A-10H-1,129-131	86.70	85.4	0.00	86.70	1.8	88.50	3.74	-0.88	58980	57160		
86-577A	86-577A-10H-2,0-1	86.90	85.4	0.00	86.91	1.8	88.71	3.45	-0.98	59040	57220		
86-577A	86-577A-10H-2,29-31	87.20	85.4	0.00	87.20	1.8	89.00	3.77	-0.84	59120	57320		
86-577A	86-577A-10H-2,32-33	87.22	85.4	0.00	87.23	1.8	89.03	3.62	-0.96	59120	57320		
86-577A	86-577A-10H-2,60-61	87.50	85.4	0.00	87.51	1.8	89.31	3.33	-1.06	59200	57410		
